NEF,Florian Potsdam,01/82/01
NEF,Florian Potsdam,01/82/02
NEF,Florian Potsdam,01/82/03
RTW,Florian Potsdam,01/83/01
RTW,Florian Potsdam,01/83/02
RTW,Florian Potsdam,01/83/03
RTW,Florian Potsdam,01/83/04
RTW,Florian Potsdam,01/83/05
NEF,Florian Potsdam,02/82/01
RTW,Florian Potsdam,02/83/01
RTW,Florian Potsdam,02/83/02
RTW,Florian Potsdam,14/83/01
